# numberOfRuns: 5 ; loopSize: 20 ; operator: GreaterThan booleanToBooleanOperator: Xor ; runtime in microseconds ; memory in bytes
Matrix_rlen,Matrix_clen,output_type,operation,value_type,value
100,50000,FP64,BoolToBool,memory,8.1789136E7
100,50000,BITSET,BoolToBool,memory,2097382.4
100,50000,BOOLEAN,BoolToBool,memory,1.04859616E7
100,100000,FP64,DoubleToBool,runtime,204562.6
100,100000,BITSET,DoubleToBool,runtime,227190.4
100,100000,BOOLEAN,DoubleToBool,runtime,156423.6
100,100000,FP64,BoolToBool,runtime,4223035.8
100,100000,BITSET,BoolToBool,runtime,4669359.0
100,100000,BOOLEAN,BoolToBool,runtime,2419266.4
100,100000,FP64,DoubleToBool,memory,2.422214E8
100,100000,BITSET,DoubleToBool,memory,1.635782048E8
100,100000,BOOLEAN,DoubleToBool,memory,1.719667888E8
100,100000,FP64,BoolToBool,memory,1.61480912E8
100,100000,BITSET,BoolToBool,memory,4194540.8
100,100000,BOOLEAN,BoolToBool,memory,2.0971728E7
100,160000,FP64,DoubleToBool,runtime,325668.2
100,160000,BITSET,DoubleToBool,runtime,360748.4
100,160000,BOOLEAN,DoubleToBool,runtime,251529.8
100,160000,FP64,BoolToBool,runtime,6686682.0
100,160000,BITSET,BoolToBool,runtime,7410119.0
100,160000,BOOLEAN,BoolToBool,runtime,3887159.2
100,160000,FP64,DoubleToBool,memory,3.86924888E8
100,160000,BITSET,DoubleToBool,memory,2.600472096E8
100,160000,BOOLEAN,DoubleToBool,memory,2.747272368E8
100,160000,FP64,BoolToBool,memory,2.57949904E8
100,160000,BITSET,BoolToBool,memory,4194547.2
100,160000,BOOLEAN,BoolToBool,memory,3.35546208E7
500,100,FP64,DoubleToBool,runtime,1545.6
500,100,BITSET,DoubleToBool,runtime,1906.8
500,100,BOOLEAN,DoubleToBool,runtime,1563.0
500,100,FP64,BoolToBool,runtime,21276.8
500,100,BITSET,BoolToBool,runtime,23627.4
500,100,BOOLEAN,BoolToBool,runtime,12846.4
500,100,FP64,DoubleToBool,memory,1200392.0
500,100,BITSET,DoubleToBool,memory,806665.6
500,100,BOOLEAN,DoubleToBool,memory,850372.8
500,100,FP64,BoolToBool,memory,800240.0
500,100,BITSET,BoolToBool,memory,12787.2
500,100,BOOLEAN,BoolToBool,memory,100220.8
1000,100,FP64,DoubleToBool,runtime,2351.8
1000,100,BITSET,DoubleToBool,runtime,2859.6
1000,100,BOOLEAN,DoubleToBool,runtime,2107.0
1000,100,FP64,BoolToBool,runtime,42065.8
1000,100,BITSET,BoolToBool,runtime,46564.2
1000,100,BOOLEAN,BoolToBool,runtime,28535.4
1000,100,FP64,DoubleToBool,memory,3146046.4
1000,100,BITSET,DoubleToBool,memory,2110001.6
1000,100,BOOLEAN,DoubleToBool,memory,2197467.2
1000,100,FP64,BoolToBool,memory,2097360.0
1000,100,BITSET,BoolToBool,memory,25270.4
1000,100,BOOLEAN,BoolToBool,memory,200214.4
5000,100,FP64,DoubleToBool,runtime,12865.4
5000,100,BITSET,DoubleToBool,runtime,11801.8
5000,100,BOOLEAN,DoubleToBool,runtime,8363.4
5000,100,FP64,BoolToBool,runtime,214214.0
5000,100,BITSET,BoolToBool,runtime,231664.2
5000,100,BOOLEAN,BoolToBool,runtime,123980.8
5000,100,FP64,DoubleToBool,memory,1.2583224E7
5000,100,BITSET,DoubleToBool,memory,8451444.8
5000,100,BOOLEAN,DoubleToBool,memory,8888929.6
5000,100,FP64,BoolToBool,memory,8388816.0
5000,100,BITSET,BoolToBool,memory,125289.6
5000,100,BOOLEAN,BoolToBool,memory,1000220.8
10000,100,FP64,DoubleToBool,runtime,22534.8
10000,100,BITSET,DoubleToBool,runtime,22649.2
10000,100,BOOLEAN,DoubleToBool,runtime,18480.0
10000,100,FP64,BoolToBool,runtime,416852.4
10000,100,BITSET,BoolToBool,runtime,458199.0
10000,100,BOOLEAN,BoolToBool,runtime,242463.4
10000,100,FP64,DoubleToBool,memory,2.5166136E7
10000,100,BITSET,DoubleToBool,memory,1.6902536E7
10000,100,BOOLEAN,DoubleToBool,memory,1.78260912E7
10000,100,FP64,BoolToBool,memory,1.6777424E7
10000,100,BITSET,BoolToBool,memory,250262.4
10000,100,BOOLEAN,BoolToBool,memory,2097334.4
50000,100,FP64,DoubleToBool,runtime,103527.0
50000,100,BITSET,DoubleToBool,runtime,114453.0
50000,100,BOOLEAN,DoubleToBool,runtime,79321.8
50000,100,FP64,BoolToBool,runtime,2088390.6
50000,100,BITSET,BoolToBool,runtime,2330428.6
50000,100,BOOLEAN,BoolToBool,runtime,1205066.8
